,name,link,image,ingredients,vector
0,Strawberry Icebox Cake,https://www.laurainthekitchen.com/recipes/strawberry-icebox-cake/,http://laurainthekitchen.com/500x300thumbnails/strawberry-icebox-cake.jpg,cracker graham vanilla pudding whip seedless orange strawberry jam cool,"[-0.02386737  0.11096928 -0.00556232  0.01413157  0.03524079 -0.21572998
  0.03885614  0.27642465 -0.0786523  -0.06220101 -0.07328747 -0.20829132
  0.01944808  0.04195141  0.03962721 -0.04855973  0.03995409 -0.12596619
 -0.02392013 -0.2467755   0.02682949  0.0901363   0.02127018 -0.07699351
 -0.05043113  0.07893884 -0.10689657 -0.09125455 -0.13172872  0.01451161
  0.09933932 -0.02609769  0.08539528 -0.10281461 -0.07743861  0.18336216
  0.03349634 -0.12709966 -0.06971604 -0.21744783 -0.01503199 -0.14853486
 -0.0380726   0.01463327  0.12381725  0.00251025 -0.08209121 -0.03762328
  0.04042736  0.0451614   0.02642751 -0.09588685 -0.06555293 -0.01355761
 -0.04860012  0.04695121  0.08838142 -0.01913809 -0.1400827   0.04519331
  0.02903278  0.01891868  0.00105732 -0.00217155 -0.12447662  0.10752926
  0.07758719  0.08233218 -0.20649342  0.1988607  -0.07512003  0.02936484
  0.14222147 -0.04515408  0.12758967  0.08952757 -0.00663997 -0.01469391
 -0.10386131  0.03204556 -0.10383882 -0.02242707 -0.12334203  0.21037352
 -0.00713796  0.02046813 -0.02257827  0.15581535  0.16388969  0.03968166
  0.1575265   0.1311399   0.01285045  0.04676022  0.18834966  0.11253354
  0.08058894 -0.07247555  0.03182435 -0.02458367]"
1,Easy Grilled Chicken and Lemon Salsa Verde,https://www.laurainthekitchen.com/recipes/easy-grilled-chicken-and-lemon-salsa-verde/,http://laurainthekitchen.com/500x300thumbnails/easy-grilled-chicken-and-lemon-salsa-verde.jpg,packed sausage chicken anchovy,"[-2.89057381e-02  1.07990608e-01 -1.23550715e-02  2.05422342e-02
  3.27241383e-02 -2.14743808e-01  4.00159098e-02  2.70528853e-01
 -8.40687379e-02 -6.02470450e-02 -7.57870823e-02 -2.07965642e-01
  2.09205188e-02  4.58342619e-02  3.90448868e-02 -4.81717773e-02
  4.42141481e-02 -1.24530777e-01 -2.11834703e-02 -2.46839851e-01
  2.40660589e-02  8.62371102e-02  1.59580968e-02 -8.35030451e-02
 -5.11086173e-02  7.09198639e-02 -1.08176365e-01 -9.65422392e-02
 -1.30415604e-01  1.45253055e-02  1.11730054e-01 -3.00394185e-02
  7.13397264e-02 -1.00912280e-01 -7.85768256e-02  1.80745766e-01
  2.77587734e-02 -1.30844563e-01 -6.82144463e-02 -2.19375879e-01
 -1.76935811e-02 -1.46754131e-01 -4.01630811e-02  2.13531293e-02
  1.26274124e-01  7.35618931e-04 -8.19933936e-02 -3.81000340e-02
  3.95475030e-02  4.65066284e-02  3.51046175e-02 -9.17109326e-02
 -6.33114651e-02 -1.22792637e-02 -5.15642762e-02  4.21234891e-02
  9.02183503e-02 -1.58945452e-02 -1.42278910e-01  4.10035662e-02
  2.94889510e-02  2.04520058e-02  3.33461212e-05  3.17028258e-04
 -1.21487707e-01  1.05223343e-01  7.90265501e-02  8.37288126e-02
 -2.02197328e-01  1.98516890e-01 -7.81630203e-02  2.06832271e-02
  1.45469069e-01 -4.43539508e-02  1.25383839e-01  9.55953673e-02
 -7.75088510e-03 -1.47098582e-02 -9.63448957e-02  2.73372363e-02
 -1.11998662e-01 -2.72701979e-02 -1.28747717e-01  2.09876552e-01
 -1.64233707e-03  1.59390513e-02 -2.41067298e-02  1.50518179e-01
  1.67759702e-01  3.98925692e-02  1.55687839e-01  1.40702471e-01
  9.65905096e-03  5.38930222e-02  1.88513085e-01  1.10038064e-01
  7.52751604e-02 -6.91551119e-02  4.47221436e-02 -2.56031975e-02]"
2,Easy Springtime Pasta,https://www.laurainthekitchen.com/recipes/easy-springtime-pasta/,http://laurainthekitchen.com/500x300thumbnails/easy-springtime-pasta.jpg,pasta long asparagus artichoke heart bias shaped,"[-0.02587576  0.10608944 -0.00230256  0.01796906  0.03629067 -0.21722281
  0.03860819  0.27382186 -0.08391457 -0.06181483 -0.07909913 -0.20507395
  0.01784705  0.04487168  0.04581796 -0.04972638  0.03476365 -0.12145139
 -0.02091973 -0.24961859  0.02626242  0.09040375  0.01886839 -0.07668465
 -0.05376324  0.08284406 -0.10814949 -0.09296659 -0.1255244   0.00869637
  0.1079613  -0.03562494  0.07724021 -0.10160255 -0.07623392  0.17856118
  0.03292355 -0.12717614 -0.07460195 -0.2214841  -0.01597724 -0.1481627
 -0.03978102  0.01936739  0.12949233 -0.00401716 -0.08104179 -0.03791161
  0.04520529  0.04620376  0.0286836  -0.0917792  -0.05881124 -0.00878758
 -0.05603109  0.04754788  0.0914897  -0.01705358 -0.13952813  0.04052199
  0.04213275  0.02071813  0.00543297 -0.00545843 -0.11464772  0.10471781
  0.07690262  0.08109024 -0.19875892  0.19808628 -0.0738021   0.02512156
  0.1451031  -0.03870083  0.13050847  0.08808503 -0.004253   -0.01108518
 -0.0975804   0.02765459 -0.10842039 -0.0197576  -0.13091381  0.2069628
 -0.0003318   0.01587981 -0.01489379  0.15389258  0.16517879  0.03633516
  0.15632899  0.14233491  0.01562849  0.05371147  0.19088686  0.11334413
  0.07987346 -0.07300655  0.03767641 -0.02272618]"
3,Sheet Pan Teriyaki Chicken,https://www.laurainthekitchen.com/recipes/sheet-pan-teriyaki-chicken/,http://laurainthekitchen.com/500x300thumbnails/sheet-pan-teriyaki-chicken.jpg,chicken sodium broccoli pea rice snap scallion veggie soy,"[-0.02339581  0.11247259 -0.00653695  0.01407764  0.03504157 -0.216258
  0.0399446   0.27229744 -0.07867709 -0.05971711 -0.07466549 -0.20828433
  0.01526316  0.04505108  0.03937259 -0.04618297  0.03960638 -0.12433585
 -0.02003852 -0.24678822  0.02444766  0.09075844  0.02177472 -0.07757615
 -0.05079787  0.07606465 -0.1109705  -0.0907834  -0.12712944  0.01314926
  0.10627263 -0.02763898  0.07220394 -0.10369594 -0.079941    0.18070188
  0.02980253 -0.1289859  -0.07257988 -0.21996866 -0.01969518 -0.14757676
 -0.03624815  0.01755711  0.12674332  0.00064813 -0.08470605 -0.03645634
  0.04411025  0.04939618  0.03042845 -0.0879356  -0.06148642 -0.01578674
 -0.05388666  0.04392524  0.0932581  -0.0208896  -0.14082633  0.04558531
  0.03178561  0.01392892  0.00704726  0.00059312 -0.12558897  0.10659788
  0.08038471  0.08109477 -0.20480332  0.1982924  -0.07999335  0.02548429
  0.14500682 -0.0410977   0.12122032  0.0934911  -0.00815807 -0.01352782
 -0.09968406  0.02938996 -0.10966805 -0.01975678 -0.12679715  0.20943432
 -0.00483156  0.01886324 -0.01827984  0.15611134  0.16616353  0.04040863
  0.15586774  0.13280527  0.01269636  0.04686817  0.18989958  0.11425488
  0.07686967 -0.06850177  0.03747395 -0.02556306]"
4,Chicken Cesar Grinders,https://www.laurainthekitchen.com/recipes/chicken-cesar-grinders/,http://laurainthekitchen.com/500x300thumbnails/chicken-cesar-grinders.jpg,dijon chicken mustard hoagie wine mayo panko romaine anchovy,"[-2.64422800e-02  1.10968292e-01 -1.08585609e-02  1.51412142e-02
  3.24069820e-02 -2.17845574e-01  3.71401124e-02  2.71202564e-01
 -7.53153190e-02 -6.40657693e-02 -7.07413703e-02 -2.06556261e-01
  1.77136809e-02  4.44717444e-02  3.95929888e-02 -4.64418642e-02
  4.12231013e-02 -1.23203248e-01 -2.19040364e-02 -2.49521360e-01
  2.56275702e-02  9.13624316e-02  1.93171762e-02 -7.88393468e-02
 -5.33145592e-02  7.59734809e-02 -1.05889983e-01 -9.25066322e-02
 -1.24415874e-01  1.50890425e-02  1.05899058e-01 -2.94724777e-02
  7.90942013e-02 -1.04079418e-01 -8.07882920e-02  1.84598386e-01
  2.51034014e-02 -1.29175022e-01 -7.16410726e-02 -2.17341557e-01
 -1.68602765e-02 -1.47318169e-01 -3.63606177e-02  1.53706493e-02
  1.25877485e-01 -1.63924496e-03 -8.23289007e-02 -3.95244621e-02
  4.00233157e-02  4.67592850e-02  2.92870812e-02 -9.09476429e-02
 -6.11030236e-02 -1.15572577e-02 -5.38678318e-02  4.28319387e-02
  8.93271044e-02 -2.05488410e-02 -1.38545021e-01  4.51415628e-02
  3.30476388e-02  1.38865216e-02  6.28220849e-03  2.43633531e-05
 -1.26548588e-01  1.06587380e-01  8.10108185e-02  8.20279494e-02
 -2.07782492e-01  1.99665710e-01 -7.77419582e-02  2.24491134e-02
  1.44089714e-01 -4.21200246e-02  1.25678748e-01  9.27374065e-02
 -9.16674174e-03 -1.28242793e-02 -1.01814479e-01  3.04699782e-02
 -1.09271541e-01 -2.22064760e-02 -1.28189474e-01  2.08485618e-01
 -1.82856480e-03  1.69291738e-02 -2.17766315e-02  1.54619634e-01
  1.66725799e-01  3.95244993e-02  1.53687462e-01  1.34190202e-01
  9.90216248e-03  5.11670597e-02  1.90024674e-01  1.11667529e-01
  7.71615356e-02 -7.01791495e-02  3.78827266e-02 -2.08398234e-02]"
5,One Pot Rigatoni and Meat Sauce,https://www.laurainthekitchen.com/recipes/one-pot-rigatoni-and-meat-sauce/,http://laurainthekitchen.com/500x300thumbnails/one-pot-rigatoni-and-meat-sauce.jpg,chicken tomato marinara beef rigatoni,"[-0.02780692  0.11154608 -0.00502784  0.01618513  0.03698305 -0.21575512
  0.04039224  0.272436   -0.08371087 -0.06231706 -0.07693937 -0.21033104
  0.01960313  0.04471509  0.04020667 -0.0426417   0.03960223 -0.11944801
 -0.02102488 -0.24802355  0.0289653   0.08757542  0.01954728 -0.0780133
 -0.04912437  0.07789416 -0.10635862 -0.09455177 -0.1266788   0.01587388
  0.10525658 -0.02646287  0.07767249 -0.10449531 -0.07664307  0.18407501
  0.03181939 -0.12325921 -0.06746985 -0.21957578 -0.01467119 -0.14795229
 -0.03902204  0.02078792  0.12827717 -0.0023551  -0.08673988 -0.03571044
  0.04232689  0.04281438  0.03241976 -0.08914259 -0.06229279 -0.01210523
 -0.05535802  0.04454085  0.09380224 -0.02174395 -0.13920732  0.04759386
  0.02895865  0.01946573  0.00628627  0.00049875 -0.12576008  0.10378138
  0.08239671  0.08362251 -0.2023529   0.1991358  -0.08089706  0.02319271
  0.14113523 -0.04314093  0.12851585  0.09290854 -0.00675351 -0.01593693
 -0.09972671  0.03087845 -0.10677039 -0.02134748 -0.12400849  0.20419815
 -0.00388309  0.01814889 -0.0190192   0.15573967  0.16969194  0.03599139
  0.15556827  0.13823383  0.01393169  0.05083849  0.18812302  0.11325632
  0.07595175 -0.07167506  0.03955759 -0.02159485]"
6,The Best Italian Easter Bread,https://www.laurainthekitchen.com/recipes/the-best-italian-easter-bread/,http://laurainthekitchen.com/500x300thumbnails/the-best-italian-easter-bread.jpg,sprinkle vanilla orange,"[-0.02222922  0.11251504 -0.00320444  0.01663296  0.02917589 -0.22218287
  0.04366484  0.27784452 -0.0821881  -0.06096726 -0.07014964 -0.20721984
  0.01687317  0.03990953  0.03541933 -0.05000958  0.0409508  -0.12625507
 -0.02116475 -0.24933824  0.0284098   0.08445888  0.02714905 -0.07430808
 -0.05026278  0.07812043 -0.10468299 -0.08917819 -0.1224557   0.01549787
  0.10059515 -0.02764026  0.08108301 -0.10028634 -0.07540243  0.17949979
  0.03061907 -0.13227955 -0.07007277 -0.21704617 -0.01885588 -0.14449264
 -0.04218936  0.0202021   0.12230246 -0.0008097  -0.08696729 -0.04077654
  0.04245453  0.04890092  0.0312572  -0.09372627 -0.06727086 -0.01220746
 -0.04600011  0.04087834  0.08939832 -0.02166809 -0.13853523  0.0496272
  0.02740652  0.01304769  0.00189247 -0.00419003 -0.132124    0.10537423
  0.07230504  0.08071841 -0.20336434  0.19883388 -0.0752794   0.0276258
  0.13808477 -0.044152    0.12869102  0.09301852 -0.0087146  -0.01899801
 -0.10554989  0.03595773 -0.10788772 -0.01800823 -0.12420775  0.20897408
 -0.00973353  0.02317972 -0.02036233  0.15568858  0.16778591  0.04147799
  0.15303704  0.13627116  0.01463685  0.05041393  0.18921207  0.10964857
  0.07701163 -0.07412755  0.03931628 -0.02482924]"
7,One Pan Lemon Chicken and Potatoes,https://www.laurainthekitchen.com/recipes/one-pan-lemon-chicken-and-potatoes/,http://laurainthekitchen.com/500x300thumbnails/one-pan-lemon-chicken-and-potatoes.jpg,chicken drumstick potato bonein juicy,"[-0.02858954  0.10972565 -0.00170973  0.01468474  0.04023458 -0.21432742
  0.04387264  0.27268076 -0.08061225 -0.05169889 -0.08090049 -0.19943152
  0.02008915  0.04481611  0.03796479 -0.04245421  0.03867216 -0.13283285
 -0.0303163  -0.24583945  0.02829459  0.09619412  0.01787023 -0.07905132
 -0.03874095  0.07879741 -0.10105905 -0.09264441 -0.12227385  0.01063785
  0.10357957 -0.03447028  0.07748584 -0.09922943 -0.09132133  0.18477526
  0.02591012 -0.12009279 -0.07163268 -0.22148961 -0.01818942 -0.14484043
 -0.03553314  0.00951313  0.12542328 -0.00662253 -0.08536203 -0.03045045
  0.03345148  0.04902725  0.02565129 -0.09189574 -0.05983955 -0.01038908
 -0.05260982  0.03880502  0.08947968 -0.02084257 -0.13282248  0.04073849
  0.03324924  0.01491756  0.00588411 -0.00077631 -0.13282964  0.10636037
  0.07448863  0.08019187 -0.20637724  0.19244802 -0.08161736  0.0201358
  0.15202138 -0.0480982   0.12279202  0.08893473 -0.0067388  -0.01728498
 -0.10352578  0.02852982 -0.11540018 -0.01874973 -0.12251773  0.21116759
 -0.00212534  0.01111876 -0.02119452  0.16153367  0.1636455   0.03027709
  0.1539745   0.13114682  0.02345042  0.04498944  0.20203476  0.11816804
  0.08516297 -0.06644607  0.03884996 -0.01960556]"
8,The Best Coconut Cream Pie,https://www.laurainthekitchen.com/recipes/the-best-coconut-cream-pie/,http://laurainthekitchen.com/500x300thumbnails/the-best-coconut-cream-pie.jpg,vanilla coconut pie crust prebaked,"[-0.02045813  0.11357589 -0.00529822  0.02244413  0.02888416 -0.21127553
  0.04463601  0.27013007 -0.07989895 -0.06251355 -0.07791303 -0.20722647
  0.02326365  0.0447202   0.03524788 -0.04296932  0.03925455 -0.12868834
 -0.02288788 -0.24686295  0.02303481  0.0914657   0.02835034 -0.07159317
 -0.04881524  0.07958279 -0.11428133 -0.08594547 -0.12584718  0.00928067
  0.10202216 -0.02811932  0.08521828 -0.10997561 -0.07664724  0.17783654
  0.02996651 -0.1316371  -0.07136628 -0.22463913 -0.02309697 -0.14495559
 -0.03448784  0.01594799  0.12418526  0.00263821 -0.09098799 -0.03744404
  0.04559582  0.05363559  0.02582074 -0.09431658 -0.06953403 -0.01538109
 -0.04728956  0.04404344  0.08940909 -0.02449103 -0.14428982  0.04378644
  0.03693676  0.01244235 -0.00111783  0.00422678 -0.13566266  0.10057671
  0.07893148  0.08506206 -0.1992206   0.20551649 -0.07269166  0.02120191
  0.14437638 -0.04335578  0.12882674  0.09189258 -0.01136403 -0.02061103
 -0.10583653  0.02817489 -0.10068265 -0.02004208 -0.12143089  0.20898363
 -0.00968358  0.01621432 -0.01653479  0.14816341  0.16019328  0.03789631
  0.15796287  0.13461173  0.01340924  0.04892282  0.1877008   0.1126243
  0.07278009 -0.07410857  0.03514469 -0.02334551]"
9,The Best Honey Glazed Ham,https://www.laurainthekitchen.com/recipes/the-best-honey-glazed-ham/,http://laurainthekitchen.com/500x300thumbnails/the-best-honey-glazed-ham.jpg,fully ham honey orange spiral,"[-0.02646154  0.11231591 -0.00605965  0.01293461  0.03988679 -0.22416165
  0.03255727  0.26926586 -0.08321194 -0.06118641 -0.07479399 -0.211256
  0.02150996  0.03996879  0.04274895 -0.04772312  0.03966114 -0.12298246
 -0.02210633 -0.2504883   0.02344829  0.08601559  0.02336395 -0.07693173
 -0.04680523  0.07773557 -0.11291885 -0.09132802 -0.12214395  0.01491512
  0.09985261 -0.02301508  0.08153696 -0.10115656 -0.07318535  0.17852394
  0.03202701 -0.13086073 -0.07024094 -0.21351203 -0.01583278 -0.152327
 -0.04028697  0.01667944  0.1285084  -0.00336214 -0.08921421 -0.03580221
  0.03949912  0.03880767  0.02679815 -0.08711035 -0.06287048 -0.01054418
 -0.05746078  0.04004055  0.09244242 -0.02172952 -0.13050917  0.04300148
  0.02898617  0.00460759  0.00102678  0.00167416 -0.12779415  0.10851224
  0.07513013  0.0729716  -0.20861949  0.20029666 -0.07882871  0.03082377
  0.13865893 -0.03852088  0.12467118  0.09500141 -0.00691482 -0.01006571
 -0.09948112  0.04026881 -0.10945124 -0.01461392 -0.11857361  0.21392265
 -0.01365991  0.01663092 -0.02368397  0.16114515  0.16491671  0.03750369
  0.15603843  0.14086966  0.00802095  0.05128237  0.18945156  0.10997761
  0.0757919  -0.0691993   0.03586423 -0.02392818]"
